Record_ID,Date,Buyer_ID,Country,Industry,Avg_Order_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_History,Prompt_Response,Hiring_Growth,Funding_Event,Engagement_Spike,SalesNav_ProfileVisits,DecisionMaker_Change,Intent_Score,Preferred_Channel,Response_Probability,Tariff_News,StockMarket_Shock,War_Event,Natural_Calamity,Currency_Fluctuation
28,2023-06-16,BUY_25757,Netherlands,Pharmaceuticals,3920,124668788,6398,WHO-GMP,1,0.59,0,0,1,12386,0,0.9,Call,,1,1,0,1,-0.91
29,2023-07-05,BUY_85248,Canada,Textiles,5730,157742656,3112,None,1,0.93,1,0,0,14842,0,0.7,Call,,0,0,0,1,0.02
30,2022-06-29,BUY_89136,Canada,Machinery,7068,165092913,3212,ISO9001,1,0.28,1,Unknown,0,6758,0,0.83,Call,,1,0,1,1,0.45
31,2023-03-30,BUY_79130,Netherlands,Electronics,5531,166405030,4848,ISO9001,0,0.52,1,Unknown,1,5628,1,0.02,,,1,0,1,0,-0.62
32,2021-04-27,BUY_60292,Germany,Engineering,,86739965,6072,CE,0,0.64,1,Unknown,1,15974,1,0.57,Email,NA,1,0,0,1,0.71
33,2024-07-28,BUY_72424,USA,Machinery,,73804829,1318,None,1,0.71,0,0,0,15732,0,0.44,Email,NA,1,0,1,0,0.05
34,2021-10-07,,Netherlands,Chemicals,3223,176379593,4205,None,1,0.66,1,Unknown,1,17496,1,0.54,Call,0.06,0,1,1,0,-0.55
35,2023-06-01,,Italy,IT Software,,168110009,3171,GDPR,0,0.04,0,Unknown,0,8608,1,0.14,Call,,1,0,0,0,-0.56
36,2022-10-16,BUY_97110,Singapore,Machinery,7283,83867050,614,ISO9001,1,0.5,0,1,0,6323,1,0.41,LinkedIn,NA,1,1,1,0,-0.23
37,2022-10-04,BUY_89236,Singapore,Chemicals,4420,2971767,2779,ISO14001,0,0.58,1,Unknown,0,16729,0,0.44,Call,NA,0,0,1,0,-0.13
38,2024-07-08,BUY_21575,USA,Medical Devices,2462,30134575,2801,ISO9001,0,0.91,0,0,0,2825,1,0.65,,,0,1,0,0,-0.26
39,2024-02-03,BUY_39869,USA,Engineering,,138477114,6702,ISO14001,1,0.83,0,Unknown,1,18956,0,0.78,,NA,1,1,0,1,-0.4
40,2022-03-04,BUY_89537,Germany,Medical Devices,2827,102230652,2054,None,0,0.3,0,Unknown,0,16470,1,0.12,LinkedIn,0.01,1,0,1,0,-0.47
41,2022-05-03,BUY_41912,Japan,Engineering,5980,140335547,3209,ISO9001,1,0.77,0,1,0,2858,0,0.42,Call,0.67,1,1,1,0,0.79
42,2025-01-07,BUY_29660,UK,Medical Devices,,69371546,1772,ISO9001,1,0.29,1,1,0,14686,0,0.76,LinkedIn,0.63,0,1,1,1,0.13
43,2021-07-04,BUY_63247,USA,Medical Devices,,34705741,1855,ISO9001,1,0.4,0,0,1,15264,0,0.92,Email,NA,0,0,0,0,-0.66
44,2021-06-26,BUY_58814,Australia,Pharmaceuticals,,75618508,5654,None,0,0.29,1,0,1,15787,1,0.1,Email,,1,0,1,0,0.72
45,2024-11-27,BUY_40107,Singapore,Auto Parts,1083,128367759,6458,ISO9001,1,0.78,0,1,0,17299,0,0.69,LinkedIn,,0,1,0,0,-0.89
46,2022-05-19,BUY_36298,Germany,IT Software,,131918980,3706,GDPR,0,0.65,0,Unknown,1,1348,1,0.55,WhatsApp,0.24,1,0,1,1,0.65
47,2024-07-27,BUY_60221,Netherlands,Chemicals,,31482884,1400,None,0,0.01,0,1,1,10378,0,0.72,,,0,0,0,1,-0.86
48,2022-05-05,BUY_35192,Germany,Textiles,,82463672,6825,None,0,0.68,0,Unknown,1,4442,1,0.17,LinkedIn,NA,1,1,0,1,0.4
49,2024-01-14,BUY_63568,Canada,Chemicals,,142762084,3172,None,0,0.79,1,1,1,10350,0,0.08,LinkedIn,,0,1,1,1,-0.75
50,2024-05-28,BUY_97464,UAE,Machinery,,29571742,3176,None,1,0.98,1,0,0,497,0,0.65,,,1,1,0,1,-0.51
51,2023-10-03,BUY_48377,Italy,Machinery,,84191106,5357,None,0,0.59,1,1,1,9068,0,0.87,Email,0.7,1,1,0,0,-0.48
52,2022-04-25,BUY_77758,Singapore,Textiles,4428,169147406,5787,ISO9001,1,0.82,0,0,1,9237,0,0.54,,0.66,0,0,1,1,-0.55
53,2024-02-09,BUY_13714,France,Pharmaceuticals,,19833852,6974,FDA,1,0.05,0,Unknown,0,17580,1,0.49,Email,NA,1,0,1,0,-0.7
54,2022-04-01,BUY_37063,UAE,Machinery,,143465332,4273,ISO9001,0,0.58,0,1,0,982,1,0.19,,0.91,1,0,0,1,-0.87
55,2024-02-01,BUY_95493,Japan,Auto Parts,,117381212,1698,None,0,0.08,0,0,0,3343,1,0.01,LinkedIn,,0,1,1,1,0.73
56,2021-08-12,BUY_15899,Italy,IT Software,,166997687,4838,SOC2,1,0.52,0,1,1,6253,0,0.63,WhatsApp,,0,0,1,0,-0.25
57,2022-08-02,BUY_47904,Japan,Machinery,,130067806,3484,None,0,0.7,1,1,1,17874,0,0.08,,0.85,0,1,0,0,0.56
58,2023-05-20,BUY_28896,Germany,Medical Devices,,119315005,6733,None,1,0.81,0,0,1,101,1,0.47,Call,0.46,1,0,0,0,-0.89
59,2024-11-30,BUY_95761,UK,Auto Parts,1543,140899688,512,ISO9001,1,0.64,0,Unknown,1,16190,1,0.34,Call,0.17,0,0,0,0,-0.81
60,2023-04-11,BUY_80343,France,Pharmaceuticals,,59551210,2238,WHO-GMP,0,0.58,0,Unknown,0,292,0,0.5,Call,0.65,0,0,1,0,-0.98
61,2021-07-18,BUY_45259,Italy,Machinery,1266,12396285,4118,ISO9001,1,0.07,0,1,1,10490,1,0.4,Call,0.41,0,1,1,1,-0.04
62,2022-09-09,BUY_96553,UK,Machinery,,55406248,628,ISO9001,1,0.33,1,0,0,459,1,0.6,Email,,0,0,0,1,-0.31
63,2023-04-22,BUY_61505,Australia,Machinery,,74875726,2685,None,0,0.51,1,Unknown,1,4669,0,0.89,,0.16,0,1,0,1,-0.36
64,2024-08-18,BUY_53712,Australia,Auto Parts,6907,170139122,585,ISO9001,0,0.5,0,1,1,10222,0,0.91,Email,,0,1,1,0,-0.72
65,2021-07-15,BUY_78320,Netherlands,Electronics,,87398604,2117,ISO9001,1,0.26,1,1,0,14394,0,0.25,LinkedIn,NA,0,1,0,1,0.38
66,2024-03-28,,Australia,Auto Parts,6800,96495836,4812,ISO9001,1,0.84,1,1,0,4715,1,0.74,Email,,0,0,1,1,-0.78
67,2024-08-15,BUY_19168,Singapore,Chemicals,,139147719,4854,RoHS,0,0.39,0,1,0,10189,0,0.02,LinkedIn,0.22,0,0,1,0,0.11
68,2022-08-12,BUY_18650,Germany,Machinery,,156726210,579,None,0,0.81,0,0,0,14307,1,0.89,LinkedIn,0.22,1,1,1,1,0.16
69,2022-12-16,BUY_19178,Canada,Engineering,7971,145071116,3633,ISO14001,0,0.15,1,1,1,16885,0,0.83,LinkedIn,NA,0,0,0,0,0.4
70,2023-08-28,BUY_67306,Germany,Machinery,,161301750,6228,None,0,0.44,1,1,0,1875,0,0.07,WhatsApp,NA,1,1,0,1,0.75
71,2022-01-01,BUY_27789,Canada,Chemicals,,150275438,2119,ISO14001,1,0.72,0,0,1,1024,1,0.33,,NA,0,1,0,0,0.77
72,2022-12-16,BUY_73488,Australia,Engineering,4694,83944201,2867,None,1,0.19,0,0,0,12043,0,0.18,Email,0.9,1,1,1,0,0.97
73,2022-06-07,BUY_52687,Canada,Electronics,3053,131375973,198,None,0,0.25,1,1,1,3175,0,0,Call,,0,0,0,1,0.41
74,2022-11-02,BUY_30293,Australia,Pharmaceuticals,4885,124955242,438,WHO-GMP,1,0.59,1,0,0,15352,0,0.75,WhatsApp,0.67,1,1,1,0,0.73
75,2023-12-14,BUY_96386,Singapore,Auto Parts,,183831701,1440,None,0,0.12,0,0,0,4081,1,0.04,WhatsApp,,0,0,0,1,-0.17
76,2023-06-30,BUY_51006,USA,Engineering,6745,13031445,6030,ISO14001,0,0.22,0,Unknown,0,9848,1,0.78,Call,0.54,0,0,1,0,-0.33
77,2023-07-25,BUY_66946,UK,Electronics,7045,7115746,1162,None,1,0.17,0,Unknown,0,317,1,0.12,Call,,0,0,0,1,-0.23
78,2022-05-01,BUY_20402,France,Medical Devices,849,79350721,6219,None,1,0.22,0,0,1,2613,1,0.74,WhatsApp,0.79,1,0,1,1,0.66
79,2022-10-15,BUY_97133,Singapore,Electronics,,8818294,1490,None,0,0.84,0,0,1,14538,1,0.36,Call,,0,0,1,1,-0.59
80,2023-11-08,BUY_97050,Singapore,Solar,,51491274,6878,UL,1,0.85,0,Unknown,1,5259,1,0.6,Email,0.29,1,1,1,1,0.71
81,2022-02-10,BUY_93503,UAE,Auto Parts,,187183756,1008,ISO9001,1,0.36,1,0,0,141,0,0.03,WhatsApp,,1,0,0,0,0.43
82,2022-10-22,BUY_32334,Germany,Machinery,,24644866,3038,ISO9001,1,0.63,1,0,1,11489,1,0.79,LinkedIn,0.34,0,0,0,1,0.6
83,2023-07-20,BUY_30672,Netherlands,Solar,,182024423,5842,TUV,1,0.9,1,Unknown,0,15232,1,0.5,LinkedIn,0.03,1,0,1,1,-0.08
84,2024-09-28,BUY_33049,Canada,Solar,,131563485,113,None,0,0.05,0,1,1,3326,1,0.92,Call,0.68,1,0,0,0,0.57
85,2022-04-22,BUY_81349,UAE,Engineering,1680,139126831,4901,ISO9001,0,0.19,1,1,0,10910,1,0.52,Email,,1,0,1,0,-0.93
86,2022-04-03,BUY_76644,Germany,Engineering,,77201402,3238,ISO14001,0,0.86,1,0,1,33,1,0.89,Call,0.44,0,0,0,1,-0.02
87,2023-03-31,BUY_77500,Germany,Pharmaceuticals,1251,54673488,5835,EU-GMP,1,0.1,1,Unknown,1,7236,1,0.08,Email,,1,1,1,0,-0.8
88,2024-05-18,BUY_84172,Netherlands,Medical Devices,,173148666,1960,ISO9001,0,0.64,1,0,1,9555,0,0.61,LinkedIn,NA,0,0,0,0,-0.85
89,2022-09-20,BUY_76938,USA,Auto Parts,,20530659,529,None,0,0.27,0,0,1,7390,1,0.6,LinkedIn,0.68,0,1,1,0,-0.84
90,2023-03-31,BUY_73985,Germany,Textiles,,12467283,2715,ISO9001,0,0.6,0,0,1,10165,0,0.56,Call,,1,0,1,1,-0.12
91,2023-08-09,BUY_49029,UAE,Machinery,,44961466,3483,ISO9001,1,0.29,0,1,0,4709,1,0.85,Call,NA,0,0,0,0,-0.03
92,2021-11-10,BUY_32101,Australia,Auto Parts,,110913944,5714,ISO9001,1,0.27,0,1,1,4586,0,0.87,LinkedIn,,1,0,0,0,0.18
93,2024-09-17,,Singapore,Textiles,6177,154943558,839,ISO9001,1,0.89,1,1,1,18468,1,0.57,LinkedIn,0.78,0,0,1,1,-0.18
94,2021-09-05,BUY_55719,Italy,Pharmaceuticals,601,86632456,3297,None,1,0.46,1,1,1,6579,0,0.7,,NA,0,0,1,0,-0.19
95,2024-11-26,BUY_49318,Singapore,Medical Devices,5342,95331465,4852,ISO9001,0,0.32,0,Unknown,1,14155,0,0.15,Email,NA,0,0,0,1,0.41
96,2022-06-28,BUY_95323,UAE,Electronics,1898,71585700,1544,ISO9001,0,0.87,1,1,0,19106,1,0.56,,0.13,1,1,1,0,0.93
97,2022-09-12,BUY_72770,Italy,Auto Parts,6414,93072318,6235,ISO9001,0,0.76,1,0,1,1887,0,0.51,Email,,0,0,0,0,0.16
98,2023-08-30,BUY_69529,UAE,Engineering,,176388202,6944,None,0,0.36,0,0,1,15292,0,0.23,Call,NA,1,1,0,1,-0.95
99,2023-10-10,BUY_68231,USA,Textiles,,124769331,1110,ISO9001,1,0.08,1,0,0,2885,1,0.09,,,1,1,0,0,0.49
100,2022-07-25,BUY_61627,Japan,Pharmaceuticals,227,132551018,6821,None,1,0.67,1,0,0,551,0,0.42,,NA,0,0,0,1,0.89
101,2024-06-11,BUY_26804,France,Textiles,6733,115277126,5832,ISO9001,0,0.48,1,0,1,10212,0,0.84,LinkedIn,NA,1,0,1,1,-0.43
102,2023-08-19,BUY_22314,Singapore,Auto Parts,2613,106379243,2379,None,0,0.8,0,0,1,8041,1,0.39,,NA,1,0,1,0,0.25
103,2024-04-01,BUY_45350,Germany,Solar,5361,199858695,1457,UL,1,0.68,0,0,1,19843,0,0.62,WhatsApp,NA,0,1,1,1,-0.57
104,2023-02-19,BUY_80482,Japan,Machinery,,12949138,5001,ISO9001,1,0.69,1,1,0,10537,1,0.38,Email,0.24,0,1,1,0,0.61
105,2021-04-11,BUY_21228,Australia,Medical Devices,,80259806,6150,None,0,0.17,1,0,0,18410,1,0.54,WhatsApp,,0,0,1,1,-0.87
106,2022-01-10,BUY_85943,Germany,Engineering,,25122950,227,CE,0,0.01,1,Unknown,0,5439,1,0.32,LinkedIn,0.57,1,1,0,0,0.54
107,2022-08-22,BUY_92470,USA,Engineering,,140326973,6470,CE,1,0.21,1,0,1,19121,0,0.61,WhatsApp,,1,1,1,0,-0.32
108,2021-05-03,BUY_37176,UAE,Electronics,,3149196,6670,None,1,0.04,0,Unknown,0,4274,0,0.5,LinkedIn,0.62,1,0,1,0,-0.31
109,2023-04-21,BUY_37347,Germany,Machinery,,93043304,689,None,0,0.71,1,Unknown,0,11639,1,0.89,Call,NA,1,0,1,0,0.99
110,2022-03-21,BUY_92178,Australia,Medical Devices,,68168748,6752,ISO9001,0,0.26,1,0,0,2400,1,0.37,,,0,0,1,1,0.03
111,2021-02-18,BUY_31106,Singapore,Electronics,,109333468,1003,None,1,0.67,1,0,1,5842,1,0.52,LinkedIn,NA,0,0,0,1,-0.01
112,2021-10-14,BUY_46556,Netherlands,Textiles,644,110574285,75,None,0,0.59,1,1,0,9285,1,0.32,,NA,0,1,0,1,-0.52
113,2023-02-03,BUY_32300,Canada,Machinery,,42806299,1175,None,0,0.6,0,Unknown,0,16669,1,0.47,LinkedIn,0.21,1,0,0,1,-0.1
114,2023-01-15,BUY_41495,Netherlands,Machinery,,175867280,225,None,0,0.87,0,Unknown,0,4052,1,0.11,Call,NA,1,0,1,1,-0.42
115,2023-08-01,BUY_93183,Canada,Engineering,,190313371,3444,None,0,0.37,1,1,1,7400,0,0.49,,,0,1,1,0,-0.01
116,2022-01-24,BUY_16792,UAE,Electronics,7161,91849339,2610,ISO9001,1,0.18,1,0,0,16275,1,0.17,WhatsApp,NA,0,0,0,0,-0.25
117,2024-11-14,BUY_21823,USA,Pharmaceuticals,,168146337,4322,EU-GMP,0,0.73,0,0,0,8018,1,0.43,LinkedIn,NA,1,1,0,1,-0.41
118,2024-12-20,BUY_52991,Germany,Solar,,8457614,4565,None,1,0.09,1,1,0,8578,1,0.53,Call,NA,1,0,1,1,0.31
119,2023-04-19,BUY_38539,UK,Solar,,42695474,6125,None,1,0.04,1,Unknown,0,17597,0,0.23,LinkedIn,NA,1,0,0,0,0.04
120,2023-09-03,BUY_90628,France,Electronics,4188,69912361,3358,ISO9001,1,0.71,1,1,0,6693,0,0.96,,,1,1,0,0,0.15
121,2021-08-06,,USA,Chemicals,4788,48775708,4051,RoHS,0,0.31,0,Unknown,1,13332,0,0.48,Call,0.36,0,0,1,1,-0.76
122,2021-09-04,BUY_67801,Germany,Solar,2953,186440839,5453,TUV,1,0.79,0,1,1,2757,1,0.27,,0.24,1,0,1,1,0.12
123,2023-06-03,BUY_24386,France,Pharmaceuticals,,145553672,1432,FDA,0,0.86,0,1,1,6333,1,0.23,Call,NA,0,1,1,1,0.62
124,2022-01-22,BUY_66085,Japan,Chemicals,,122491512,6286,None,0,0.28,0,0,1,13887,0,0.26,WhatsApp,0.91,1,1,1,0,0.76
125,2024-06-11,BUY_93870,UK,Engineering,3637,114226966,1641,None,0,0.82,0,Unknown,1,8344,1,0.64,WhatsApp,NA,0,1,1,1,0.02
126,2023-01-28,BUY_65088,Japan,Solar,6299,39303007,1373,None,0,0.57,0,1,1,17761,0,0.76,WhatsApp,,1,1,1,1,0.27
127,2022-09-22,BUY_78595,Singapore,Medical Devices,1323,102415272,4256,None,0,0.55,1,0,0,19694,0,0.48,,NA,1,0,1,0,0.32
128,2024-07-03,BUY_61290,France,Solar,2875,155969314,1574,TUV,1,0.46,0,Unknown,1,3116,0,0.03,Email,,1,1,1,0,-0.08
129,2022-01-23,BUY_49793,Japan,Engineering,3579,84820479,4760,None,1,0.8,0,Unknown,1,628,1,0.27,Email,NA,0,1,1,1,-0.83
130,2021-09-12,BUY_79373,France,Electronics,4020,166566908,4441,None,0,0.62,0,Unknown,1,7018,0,0.93,,0.28,0,0,0,0,-0.07
131,2021-05-12,BUY_67968,USA,Auto Parts,,146436634,3629,ISO9001,1,0.32,1,0,0,1852,0,0.19,,,1,1,0,0,-0.98
132,2021-09-26,BUY_18497,Italy,Auto Parts,809,37027877,4746,None,1,0.43,0,1,1,12855,1,0.61,LinkedIn,0.24,1,1,0,1,0.27
133,2022-08-12,BUY_24905,UAE,Electronics,,28117517,3065,None,1,0.4,1,Unknown,0,7909,0,0.7,Email,,0,1,1,1,0.68
134,2021-01-10,BUY_11738,Netherlands,Electronics,,87175760,4379,None,1,0.44,0,0,1,4118,1,0.5,Email,,1,0,0,1,-0.32
135,2023-02-28,BUY_70494,Netherlands,Chemicals,,112319303,406,None,1,0.7,0,1,1,12721,1,0.15,,,1,1,0,1,0.08
136,2024-09-01,BUY_28971,UK,Machinery,,198418012,5676,ISO9001,0,0.79,0,1,1,729,0,0.82,Email,0.37,0,1,0,1,0.38
137,2024-10-21,BUY_38329,Italy,Engineering,,152017005,3902,CE,1,0.06,1,Unknown,1,15411,1,0.86,WhatsApp,0.1,0,1,0,0,0.04
138,2022-03-17,BUY_51149,UK,Pharmaceuticals,,177278452,5357,None,0,0.17,0,1,1,17125,1,0.2,Email,NA,1,0,0,1,0.33
139,2022-04-11,BUY_56253,UAE,Engineering,,199348213,1454,None,1,0.96,1,Unknown,1,10345,1,0.08,,,0,0,1,0,-0.79
140,2022-01-27,BUY_46130,Japan,Auto Parts,5588,130357772,2711,ISO9001,0,0.65,1,1,0,14838,0,0.14,,0.48,1,0,1,1,0.51
141,2021-12-11,BUY_21527,USA,Medical Devices,,73613918,5644,None,0,0.89,0,Unknown,0,15081,1,0.29,Call,,0,1,1,0,0.42
142,2022-05-25,BUY_62172,Australia,Engineering,,96465692,5342,ISO14001,1,0.97,0,0,1,11048,0,0.06,,0.26,0,1,1,1,0.34
143,2022-06-23,BUY_53757,France,Textiles,7202,159274110,2401,ISO9001,1,0.75,0,Unknown,1,16757,0,0.19,WhatsApp,NA,1,1,1,0,0.62
144,2022-04-04,BUY_32606,Italy,Electronics,,6841818,3862,ISO9001,1,0.7,1,0,1,12873,0,0.53,Call,,0,1,1,0,-0.87
145,2023-05-09,BUY_24608,UK,Chemicals,5909,62273492,6593,ISO14001,1,0.27,0,0,1,6893,0,0.96,,,0,0,1,1,-0.78
146,2024-12-03,BUY_64927,UK,Engineering,,115796261,5275,ISO14001,0,0.24,1,1,0,6919,0,0.65,,0.99,1,1,1,0,-0.72
147,2021-08-26,BUY_32985,Netherlands,IT Software,6178,12308089,5339,ISO27001,1,0.41,1,Unknown,0,15528,1,0.79,Email,,1,0,0,1,-0.44
148,2024-08-10,BUY_56328,UAE,Solar,,110627227,6255,IEC,0,0.29,1,1,0,4610,0,0.13,WhatsApp,0.75,1,0,1,1,-0.09
149,2021-12-15,BUY_35493,France,Solar,,131933984,4948,IEC,0,0.35,1,1,0,15001,0,0.12,LinkedIn,0.4,1,0,1,0,-0.21
150,2024-05-31,BUY_30852,Netherlands,Medical Devices,545,111643056,6942,None,1,0.41,0,Unknown,0,12821,0,0.01,,,1,1,0,1,0.14
151,2024-11-05,BUY_34232,France,Solar,5697,75041002,4430,UL,1,0.69,1,1,0,5516,0,0.45,Call,NA,1,0,1,0,-0.57
152,2021-05-12,BUY_85208,Italy,Electronics,,22197598,2961,ISO9001,1,0.69,0,0,1,5929,1,0.68,Call,,1,0,1,0,-0.85
153,2022-10-06,BUY_38619,USA,Pharmaceuticals,7827,186806100,6722,None,1,0.53,1,1,0,1004,1,0.87,,0.06,1,1,1,1,0.09
154,2022-04-09,BUY_31933,Australia,Machinery,1030,52615609,4908,None,1,0.08,0,Unknown,0,15511,1,0.92,LinkedIn,0.65,0,0,0,1,0.38
155,2024-07-14,BUY_54872,Germany,Electronics,3367,121691727,2326,ISO9001,0,0.96,0,0,1,13636,1,0.18,,,1,0,0,0,-0.1
156,2024-03-28,BUY_88242,Japan,Machinery,,75502879,6419,None,0,0.09,0,1,0,308,0,0.48,Call,,1,0,0,0,-0.2
157,2023-10-20,BUY_21856,Japan,Chemicals,,9050262,6796,None,0,0.25,1,1,0,4832,1,0.41,,NA,0,1,1,0,0.44
158,2022-10-10,BUY_11890,France,IT Software,1365,127359739,2765,GDPR,1,0.96,1,1,0,10835,1,0.18,WhatsApp,0.68,0,0,1,1,0.07
159,2021-07-30,BUY_42540,Australia,Machinery,4066,10544461,3955,None,1,0.8,0,Unknown,0,15714,0,0.63,Email,NA,1,1,0,1,-0.72
160,2024-05-12,BUY_16341,Australia,Engineering,60,82467422,5639,None,0,0.24,1,0,0,17889,1,0.59,Call,NA,1,0,0,1,0.58
161,2022-11-28,BUY_72941,USA,Medical Devices,,65612452,2183,ISO9001,0,0.83,0,1,1,6658,0,0.22,Email,NA,0,1,1,0,-0.02
162,2022-01-19,BUY_36045,Australia,Textiles,,33889768,1351,ISO9001,0,0.05,0,Unknown,0,7104,1,0.21,WhatsApp,,1,0,1,1,0.66
163,2022-04-03,BUY_25599,USA,Chemicals,3497,65713281,4027,RoHS,1,0.21,1,0,1,11438,1,0.43,Email,NA,0,0,1,0,0.21
164,2021-02-23,BUY_97508,Italy,Machinery,,155038215,5367,None,1,0.48,1,1,1,17033,0,0.66,LinkedIn,,0,1,0,0,0.38
165,2024-06-12,BUY_92768,UK,Chemicals,4292,126973546,3378,None,1,0.97,0,0,1,7198,0,0.57,LinkedIn,NA,0,1,1,0,-0.4
166,2024-10-14,BUY_65499,Singapore,Electronics,6278,93191869,358,ISO9001,0,0.53,1,Unknown,0,10758,0,0.7,LinkedIn,,1,0,1,1,-0.63
167,2023-02-14,BUY_99666,Japan,Machinery,7148,13512053,3884,None,0,0.54,1,1,0,16114,0,0.5,Email,NA,0,0,0,1,-0.63
168,2024-03-26,BUY_30618,Canada,Auto Parts,,168938053,5624,None,0,0.14,0,Unknown,0,14882,0,0.7,Email,,1,0,0,0,0.97
169,2022-01-14,BUY_39912,Japan,Chemicals,1552,95627679,2612,None,0,0.45,0,0,1,16516,1,0.65,WhatsApp,1,0,0,1,1,0.87
170,2024-10-03,BUY_40258,UK,Textiles,5543,54398821,6161,None,0,0.38,1,0,1,11993,0,0.27,Call,NA,0,0,1,0,-0.21
171,2023-02-03,BUY_10284,Germany,IT Software,2146,100084493,3533,None,0,0.28,1,0,0,5200,1,0.89,,0.41,1,1,0,0,0.98
