Record_ID,Date,Exporter_ID,State,Industry,MSME_Udyam,Manufacturing_Capacity_Tons,Revenue_Size_USD,Team_Size,Certification,Good_Payment_Terms,Prompt_Response_Score,Hiring_Signal,   ,SalesNav_ProfileViews,SalesNav_JobChange,Intent_Score,Shipment_Value_USD,Quantity_Tons,Tariff_Impact,StockMarket_Impact,War_Risk,Natural_Calamity_Risk,Currency_Shift
509,2022-03-19,EXP_6913,Karnataka,Medical Devices,0,2581,16119128,641,ISO9001,0,0.92,1,4039,14517,1,0.9,35238,494,-0.55,0.11,1,0,0.25
510,2022-03-16,EXP_6425,Karnataka,Medical Devices,,,25972525,1027,None,1,0.58,1,23146,13367,1,0.85,,237,0.69,0.01,1,1,-0.96
511,2024-03-30,EXP_1199,Delhi,Chemicals,,2976,16234421,151,None,0,0.91,1,822,2742,1,0.97,277392,3242,-0.99,0.61,1,0,-0.87
512,2024-12-11,EXP_1521,Tamil Nadu,Textiles,0,,6286209,644,ISO9001,0,0.54,1,11394,14185,0,0.4,,2146,-0.05,-0.53,0,1,0.42
513,2022-01-24,EXP_5465,Tamil Nadu,Chemicals,0,,63578592,214,REACH,0,0.74,1,3802,10737,0,0.45,371993,1355,0.96,-0.51,1,0,-0.15
514,2022-07-21,EXP_2612,Maharashtra,Electronics,,,27830634,429,None,0,0.04,0,6942,14630,0,0.08,NA,4486,0.43,-0.07,1,1,-0.41
515,2023-07-27,EXP_1243,Gujarat,IT Software,,2872,2258598,1599,ISO27001,1,0.27,0,12891,6706,1,0.42,NA,4895,0.31,0.86,1,0,0.2
516,2022-07-18,EXP_2989,Karnataka,Pharmaceuticals,,,57919784,1433,FDA,1,0.84,0,1813,11545,1,0.67,NA,661,0.22,0.51,0,1,-0.67
517,2023-11-09,EXP_8328,Gujarat,Auto Parts,0,2834,69403005,941,None,1,0.27,1,15626,12471,0,0.7,NA,3482,0.82,-0.77,0,1,0.37
518,2021-03-03,EXP_2825,Maharashtra,Medical Devices,0,4862,55065422,1975,None,0,0.19,1,21199,11009,1,0.68,,4864,0.69,-0.52,0,1,-0.33
519,2021-07-29,EXP_3388,Rajasthan,Textiles,,1494,65889873,164,ISO9001,0,0.99,0,3650,11835,0,0.93,196611,4674,-0.67,0.3,1,0,0.43
520,2022-02-07,EXP_6614,Telangana,IT Software,0,,46908499,1285,SOC2,1,0.82,0,3513,4051,1,0.09,417894,92,0.37,0.91,0,0,0.98
521,2024-03-17,EXP_9765,Karnataka,Solar,0,344,36769535,1724,IEC,1,0.47,1,21450,12736,1,0.81,,2395,0.2,0.77,1,1,-0.44
522,2021-08-15,EXP_1937,Gujarat,Auto Parts,1,6466,40374980,515,None,0,0.36,0,23856,11737,0,0.03,NA,1633,-0.79,0.78,1,0,-0.75
523,2023-11-11,EXP_9970,Gujarat,Textiles,1,,73439239,1967,ISO9001,0,0.03,0,6727,13728,0,0.44,432592,727,0.9,0.07,1,1,-0.31
524,2023-02-20,EXP_4247,Rajasthan,Medical Devices,,7732,6590790,269,None,0,0.62,1,23940,11992,0,0.54,585368,4753,-0.33,0.2,1,1,-0.33
525,2023-10-15,EXP_3074,Karnataka,Solar,0,,2231969,347,None,1,0.87,0,2752,14507,0,0.45,465914,2869,0.51,0.27,1,1,-0.88
526,2021-10-11,EXP_2206,Maharashtra,Machinery,0,1288,69645441,681,ISO9001,1,0.5,0,10595,9093,0,0.08,NA,4141,0.43,-0.98,0,0,0.32
527,2023-11-24,EXP_5721,Rajasthan,Chemicals,1,954,51238686,222,None,1,0.86,1,587,8298,1,0.79,,403,-0.97,0.31,1,1,-0.92
528,2024-03-29,EXP_9257,Tamil Nadu,Electronics,1,,76273822,1341,ISO9001,1,0.42,1,21874,13431,0,0.15,NA,4959,-0.36,-0.07,1,1,0.35
529,2021-08-24,EXP_8030,Telangana,Engineering,0,,33754347,952,None,1,0.98,1,2320,1607,1,0.44,715375,4459,-0.24,0.13,1,1,-0.65
530,2023-01-14,EXP_8443,Gujarat,Medical Devices,,3528,28375003,990,None,1,0.19,1,23046,13250,1,0.76,NA,224,0.21,0.46,1,1,-1
531,2024-04-11,EXP_5553,Rajasthan,Textiles,,5303,53277261,181,ISO9001,1,0.64,0,15608,13734,0,0.31,,1113,0.6,-0.99,0,1,0.32
532,2023-08-20,EXP_6539,Punjab,Textiles,,,1406172,71,None,0,0.93,0,7921,9062,0,0.97,414933,2764,0.62,-0.58,0,1,-0.77
533,2022-10-05,EXP_7537,Telangana,Medical Devices,,1204,59030317,27,ISO9001,0,0.11,0,20504,5832,1,0.46,NA,4837,-0.28,-0.48,0,1,-0.21
534,2023-04-24,EXP_9917,Tamil Nadu,Medical Devices,0,8306,1562096,933,None,0,0.67,0,2746,8576,1,0.11,113500,336,-0.35,-0.78,0,1,0.84
535,2021-11-03,EXP_9924,Karnataka,Chemicals,0,2187,38830009,1563,None,0,0.03,1,21365,10198,1,0.8,520352,3952,-0.71,-0.46,0,1,0.4
536,2021-01-10,EXP_5882,Gujarat,Auto Parts,1,,23936077,865,None,0,0.4,1,8112,10490,1,0.91,NA,4768,-0.94,-0.02,1,0,-0.45
537,2024-02-16,EXP_4186,Maharashtra,Electronics,,6678,50535198,142,None,0,0.36,0,22943,6518,1,0.88,450186,1248,-0.02,0.39,1,1,0.86
538,2021-11-22,EXP_8623,Maharashtra,Electronics,0,,71398877,1143,None,1,0.03,0,8677,13607,1,0.19,,2574,-0.89,-0.25,0,1,0.13
539,2024-01-19,EXP_6633,Maharashtra,Chemicals,,,15754152,1434,ISO14001,0,0.93,1,13734,11563,1,0.3,115843,4774,-0.93,-0.36,1,1,-0.4
540,2022-02-25,EXP_6317,Telangana,Electronics,,4567,2776519,1429,None,0,0.4,1,19993,10994,0,0.14,NA,2957,0.34,0.75,0,1,-0.54
541,2021-03-17,EXP_9202,Haryana,Engineering,0,,74504907,1569,ISO14001,0,0.23,1,11141,6795,1,0.19,418326,3343,0.18,-0.37,0,0,-0.37
542,2021-05-12,EXP_1037,Maharashtra,Pharmaceuticals,1,,13327846,1244,None,0,0.78,0,12696,3923,1,0.27,NA,3710,-0.6,0.86,1,1,0.35
543,2021-01-18,EXP_8421,Rajasthan,Electronics,0,,24814559,1376,ISO9001,0,0.46,1,784,4555,0,0.65,NA,4301,-0.36,-0.24,0,0,0.14
544,2022-01-21,EXP_8203,Haryana,Electronics,,,55059050,1432,ISO9001,0,0.3,0,12785,3175,1,0.78,,158,0.39,-0.67,1,0,0.48
545,2022-09-19,EXP_2831,Maharashtra,Machinery,0,8147,10652701,449,None,0,0.62,1,7844,2500,0,0.85,,1103,-0.39,-0.28,1,0,-0.51
546,2021-12-17,EXP_2718,Telangana,Pharmaceuticals,0,,79937249,1946,FDA,0,0.9,0,1613,9689,0,0.38,,1668,0.31,-0.39,0,0,-0.02
547,2021-02-25,EXP_3486,Gujarat,Engineering,,5669,72497458,1254,ISO14001,0,0.53,0,4378,6394,1,0.09,NA,966,0.12,-0.67,1,0,-0.11
548,2023-02-09,EXP_1767,Delhi,Machinery,0,,32940663,715,None,1,0.46,0,22409,7692,0,0.93,618597,4991,0.73,-0.72,0,0,0.14
549,2021-09-30,EXP_6751,Gujarat,Chemicals,0,2123,43897737,1566,RoHS,1,0.12,1,13470,1047,0,0.11,714317,1912,0.64,-0.65,1,0,0.49
550,2022-02-20,EXP_1559,Haryana,Pharmaceuticals,,6051,16564802,1715,WHO-GMP,1,0.88,1,14483,5422,0,0,NA,577,0.88,0.54,1,0,-0.58
551,2024-12-02,EXP_7649,Haryana,Engineering,,3235,75414857,1765,ISO14001,1,0.79,0,22571,13271,1,0.03,683601,4851,0.7,0.26,1,0,-0.88
552,2021-06-10,EXP_8421,Tamil Nadu,Engineering,1,,6496694,1264,CE,0,0.97,0,4875,14909,0,0.05,,456,0.62,-0.1,1,1,-0.65
553,2025-01-09,EXP_6416,Rajasthan,Textiles,,,55458059,963,ISO9001,1,0.11,1,2806,2090,0,0.85,,4771,-0.7,0.05,1,0,0.11
554,2024-05-22,EXP_5978,Rajasthan,Engineering,0,2910,75152897,342,ISO14001,1,0.14,0,8183,13303,1,0.86,NA,2001,0.81,0.52,0,0,-0.28
555,2021-09-11,EXP_2944,Tamil Nadu,Medical Devices,,4023,63412666,1851,ISO9001,1,0.91,1,11322,13008,0,0.89,NA,2431,-0.79,0.3,1,0,0.72
556,2023-06-03,EXP_1170,Gujarat,Medical Devices,,,74346792,970,None,0,0.71,0,14059,5822,1,0.66,,2552,-0.56,0.22,1,1,-0.42
557,2024-07-02,EXP_6481,Tamil Nadu,Chemicals,,,8893505,736,None,1,0.13,1,18919,14791,0,0.31,698796,1276,-0.79,-0.96,0,0,0.36
558,2022-05-10,EXP_2512,Karnataka,IT Software,0,,68991038,1977,ISO27001,1,0.31,0,20690,2968,1,0.71,NA,4070,0.15,-0.99,1,1,-0.68
559,2024-09-14,EXP_8462,Rajasthan,Engineering,0,,32092822,1577,None,0,0.1,0,23892,6878,1,0.5,200749,4889,-0.28,0.17,1,1,-0.96
560,2024-12-13,EXP_4804,Karnataka,Textiles,0,,45844759,567,ISO9001,1,0.69,1,23597,5130,1,0.18,NA,4943,-0.58,0.81,0,0,0.6
561,2022-11-14,EXP_1511,Maharashtra,Chemicals,,,28692159,342,RoHS,0,0.91,0,2721,9499,1,0.35,,4932,-0.76,-0.06,0,1,-0.32
562,2021-09-15,EXP_6709,Haryana,Machinery,,5725,2242265,1939,None,1,0.09,1,15570,2727,0,0.55,,4585,-0.82,-0.68,0,1,-0.82
563,2021-09-22,EXP_6496,Tamil Nadu,Chemicals,1,7070,43538899,1937,REACH,0,0.11,0,6,8136,0,0.5,,687,0.11,0.97,1,0,-0.76
564,2023-10-30,EXP_9659,Punjab,IT Software,1,3943,59682932,894,ISO27001,1,0.71,1,4816,10424,1,0.9,,4092,0.43,-0.49,0,0,0.58
565,2023-11-01,EXP_4848,Punjab,Auto Parts,1,5802,13268987,805,None,1,0.02,1,9146,7504,1,0.03,,353,0.61,0.11,0,1,-0.64
566,2021-03-17,EXP_4488,Maharashtra,Electronics,0,,28582007,1050,None,1,0.5,1,13552,11356,0,0.74,,243,-0.67,-0.78,1,1,-0.74
567,2023-01-23,EXP_2626,Gujarat,Chemicals,0,7699,18869625,787,REACH,0,0.34,0,24565,6869,0,0.67,NA,1772,-0.08,-0.04,1,1,-0.39
568,2024-08-24,EXP_9529,Haryana,Electronics,0,5296,48407246,494,None,1,0.27,0,9762,8940,1,0.28,543712,153,-0.02,-0.87,0,1,-0.11
569,2021-01-05,EXP_2615,Delhi,Engineering,,,47981624,967,None,1,0.86,1,20471,4205,0,0.12,NA,1411,0.32,-0.89,0,1,-0.51
570,2024-07-05,EXP_5380,Gujarat,IT Software,,1623,26771736,1306,None,0,0.58,0,12986,4323,1,0.88,,2661,0.28,-0.06,0,0,0.34
571,2021-12-27,EXP_9295,Punjab,Medical Devices,1,8481,65657981,1763,ISO9001,0,0.69,1,9099,9764,1,0.85,,2001,-0.19,0.38,0,1,-0.72
572,2024-03-01,EXP_6533,Maharashtra,Solar,1,6040,63561513,175,UL,1,0.76,0,20660,6188,0,0.19,406703,2418,-0.46,0.52,1,1,0.74
573,2022-11-26,EXP_3952,Telangana,Machinery,1,,63771820,1736,None,1,0.37,0,12925,11773,0,0.77,,644,0.6,-0.79,1,1,-0.16
574,2021-05-14,EXP_9080,Karnataka,Machinery,,8797,37238791,958,ISO9001,0,0.88,0,14385,6217,0,0.14,NA,654,-0.1,-0.62,1,0,-0.08
575,2022-12-27,EXP_5697,Rajasthan,Medical Devices,,2141,37636550,1007,None,0,0.69,0,21484,13641,1,0.67,642317,1969,-0.63,0.01,1,0,-0.97
576,2022-03-30,EXP_1614,Punjab,Engineering,,,10522298,232,None,1,0.55,0,17262,7827,1,0.59,NA,801,-0.64,-0.19,1,1,0.55
577,2024-11-08,EXP_2346,Delhi,Pharmaceuticals,,5526,75470269,1381,None,1,0.06,0,18014,10822,0,0.6,NA,596,-0.31,-0.11,0,1,0.09
578,2022-03-06,EXP_6676,Tamil Nadu,IT Software,1,2533,20035149,1045,None,0,0.29,0,1860,11348,0,0.09,830115,2288,0.04,-0.61,0,1,0.8
579,2021-11-28,EXP_1438,Tamil Nadu,Solar,0,3532,58113384,144,TUV,0,0.07,1,23839,1450,1,0.04,NA,4861,-0.22,0.09,1,1,-0.92
580,2024-11-23,EXP_5592,Gujarat,Auto Parts,1,7645,30088698,905,ISO9001,1,0.76,0,21903,4870,0,0.65,,862,0.07,-0.21,1,0,0.97
581,2022-07-03,EXP_5829,Haryana,Engineering,1,5071,25490305,1891,CE,0,0.73,1,20963,2176,1,0.86,,375,0.36,-0.64,0,1,0.01
582,2024-01-18,EXP_8440,Maharashtra,IT Software,,,3142361,890,ISO27001,1,0.16,1,22260,5638,0,0.98,,3508,0.01,-0.42,1,0,0.45
583,2021-11-21,EXP_7720,Maharashtra,Auto Parts,,,32017256,671,None,1,0.86,0,19668,2999,1,0.82,NA,3183,-0.59,-0.15,0,0,-0.87
584,2021-03-17,EXP_2723,Punjab,Machinery,1,7169,6857050,155,None,1,0.62,0,12392,13383,1,0.57,,687,0.09,0.8,0,0,-0.67
585,2021-11-10,EXP_6657,Maharashtra,Engineering,0,7151,77732834,1201,ISO14001,1,0.93,0,11053,13220,1,0.75,153400,1582,0.98,0.95,1,1,-0.74
586,2022-11-24,EXP_3274,Rajasthan,Auto Parts,1,,71900549,1004,ISO9001,0,0.41,0,14904,1215,0,0.7,,4931,0.63,0.46,1,1,0.35
587,2021-08-01,EXP_3361,Telangana,IT Software,0,,20954519,1335,None,1,0.39,1,1448,989,1,0.63,NA,3209,-0.02,-0.94,1,0,0.9
588,2023-04-28,EXP_7493,Maharashtra,Textiles,,3301,61950460,1711,ISO9001,0,0.78,0,24960,10517,0,0.43,,4698,-0.64,0.12,0,0,-0.93
589,2023-08-22,EXP_9794,Haryana,Medical Devices,0,,70302109,388,None,0,0.84,0,17338,12038,1,0.3,NA,825,-1,0.96,0,0,-0.59
590,2024-12-20,EXP_6753,Tamil Nadu,Electronics,1,,16083741,1518,None,1,0.4,1,23554,8584,0,0.91,NA,4317,0.7,-0.1,1,0,0.49
591,2023-08-14,EXP_2871,Haryana,Chemicals,0,,44134028,444,None,0,0.88,0,14714,525,0,0.01,NA,3710,-0.85,-0.95,0,0,0.35
592,2022-07-27,EXP_6548,Tamil Nadu,Textiles,1,3535,43165890,1962,ISO9001,1,0.18,1,13483,9654,1,0.8,NA,2281,0.06,0.55,1,1,0.97
593,2023-01-06,EXP_2827,Rajasthan,Solar,,3672,42821786,1213,UL,1,0.9,1,23534,591,0,0.9,654954,2688,-0.1,0.99,1,1,-0.38
594,2022-03-12,EXP_1933,Telangana,Pharmaceuticals,0,2855,30933857,443,WHO-GMP,1,0.66,1,10850,2444,0,0.91,NA,4281,-0.73,0.17,1,1,-0.5
595,2022-08-06,EXP_9510,Maharashtra,Pharmaceuticals,,8934,48071736,1749,WHO-GMP,0,0.22,1,24123,661,0,0.69,,4089,-0.57,-0.57,1,0,0.43
596,2024-08-07,EXP_3397,Tamil Nadu,Electronics,0,3420,59318914,390,ISO9001,1,0.34,0,5217,10213,0,0.34,591268,811,0.22,0.97,1,0,0.51
597,2024-02-09,EXP_2078,Rajasthan,IT Software,1,,30850244,1403,None,0,0.64,1,16943,7871,0,0.28,342896,4618,-0.44,0.53,0,1,0.48
598,2024-08-07,EXP_1911,Rajasthan,Engineering,0,,58937570,161,ISO9001,1,0.05,1,8935,4301,0,0.53,362755,1261,0.72,-0.18,0,0,-0.06
599,2022-11-15,EXP_9395,Maharashtra,Electronics,,,21916351,1660,ISO9001,0,0.46,0,3934,9669,0,0.69,NA,3882,-0.17,-0.6,1,0,0.28
600,2024-11-27,EXP_4694,Haryana,Engineering,1,,51576953,1204,ISO14001,1,0.08,1,18587,11864,1,1,,898,-0.96,0.83,1,0,-0.76
601,2022-07-04,EXP_7992,Haryana,Machinery,,3783,50308800,248,None,1,0.92,0,14451,3790,0,0.8,867660,4125,-0.04,-0.84,1,0,0.37
602,2024-03-11,EXP_5302,Rajasthan,Solar,,1879,76922738,301,None,1,0.98,0,106,14613,0,0.46,448654,4556,-1,-0.36,0,0,-0.69
603,2024-01-08,EXP_6161,Punjab,Machinery,,,54671742,1434,None,0,0.83,0,2238,2197,0,0.1,,2714,0.54,0.99,1,1,0.23
604,2023-12-09,EXP_6837,Haryana,Engineering,1,,61349392,357,ISO9001,1,0.93,1,1271,12306,1,0.9,NA,4550,0.85,-0.36,1,1,0.3
605,2024-05-25,EXP_5420,Karnataka,Machinery,,2797,13802701,1009,ISO9001,0,0.29,0,19569,5489,1,0.34,NA,514,0.57,0.04,0,0,-0.74
606,2021-08-31,EXP_8993,Rajasthan,Electronics,0,8165,61729739,753,ISO9001,0,0.23,0,12874,3952,1,0.74,NA,1975,-0.23,0.81,0,0,-0.24
607,2024-11-11,EXP_2598,Gujarat,Auto Parts,0,7333,3185702,991,None,1,0.15,0,9993,9878,0,0.28,,3875,-0.46,0.85,1,1,0.86
608,2021-12-11,EXP_7613,Rajasthan,Engineering,0,840,18208687,762,CE,1,0.84,0,8373,10914,1,0.27,NA,2085,-0.69,-0.35,0,1,0.76
609,2023-08-21,EXP_8783,Delhi,Chemicals,,5643,30639582,1576,RoHS,0,0.63,0,8914,12447,0,0.96,,2569,0.47,0.23,1,1,0.99
610,2024-09-14,EXP_4193,Gujarat,Chemicals,1,,59305330,289,None,0,0.37,0,18579,8273,0,0.67,,563,-0.47,0.82,1,1,-0.6
611,2022-03-08,EXP_9062,Rajasthan,Medical Devices,0,3829,14353119,1967,None,1,0.52,1,21713,13296,1,0.68,NA,784,0.79,-0.3,0,1,0.8
612,2022-07-31,EXP_7337,Tamil Nadu,Electronics,0,8310,13713648,1926,ISO9001,1,0.5,1,24183,13465,0,0.21,,1746,0.99,0.53,1,1,-0.5
613,2022-07-24,EXP_8427,Punjab,Textiles,,3272,18524351,71,ISO9001,0,0.36,1,22177,5619,0,0.64,,3991,0.73,0.78,0,1,0.75
614,2023-10-28,EXP_9431,Maharashtra,Electronics,0,6012,2234201,1007,None,0,0.91,1,3628,10464,0,0.53,NA,2114,0.03,-0.73,0,1,0.76
615,2021-02-02,EXP_6213,Haryana,Engineering,0,,69476801,900,CE,0,0.06,1,6187,5600,0,0.81,590974,2667,0.94,-0.9,1,1,0.58
616,2024-04-15,EXP_1717,Haryana,Engineering,1,,39949219,759,None,1,0.36,0,5938,7262,0,0.26,,4843,-0.88,-0.72,0,1,-0.16
617,2024-06-07,EXP_9441,Telangana,Pharmaceuticals,1,8343,48676017,1851,None,1,0.82,1,22022,11460,0,0.69,NA,2164,-0.01,0.93,0,0,-0.31
618,2023-04-02,EXP_9517,Karnataka,Electronics,0,8720,6925632,1135,None,1,0.79,1,23287,1212,0,0.82,,747,-0.72,0.14,1,0,-0.5
619,2024-06-04,EXP_3665,Delhi,Electronics,,,28969842,792,None,1,0.68,0,13698,1998,0,0.31,,324,0.28,0.7,0,0,-0.75
620,2022-02-28,EXP_4422,Karnataka,IT Software,0,8818,62111267,1105,GDPR,1,0.91,0,555,1164,1,0.15,NA,3335,-0.11,-0.71,0,0,0.3
621,2024-04-24,EXP_1719,Haryana,IT Software,1,,45067857,1274,None,1,0.42,1,964,14269,0,0.4,477623,2622,0.34,0.47,0,1,-0.18
622,2023-10-17,EXP_6322,Karnataka,Engineering,0,1428,22135293,557,None,1,0.71,1,7283,13627,1,0.92,NA,1751,0.15,-0.72,0,1,-0.83
623,2024-03-18,EXP_5138,Karnataka,Electronics,,,56525929,1766,ISO9001,0,1,1,3004,1201,0,0,NA,2247,-0.98,-0.65,0,0,0.34
624,2022-10-03,EXP_9630,Telangana,Auto Parts,0,7292,71561479,655,ISO9001,0,0.84,0,10385,2818,0,0.8,NA,2632,0.43,0.23,1,1,-0.54
625,2021-06-25,EXP_9285,Rajasthan,IT Software,1,302,2550325,1550,SOC2,0,0.04,1,15191,10219,0,0.58,NA,3942,0.01,0.09,0,1,0.84
626,2024-02-27,EXP_8434,Haryana,Electronics,,,53483154,1298,None,1,0.05,1,2531,3422,0,0.3,755877,4878,-0.87,-0.14,0,1,-0.67
627,2024-06-15,EXP_6920,Maharashtra,Machinery,,,55632414,282,ISO9001,1,0.65,1,11139,11563,0,0.54,,4487,0.78,-0.02,0,0,0.75
628,2022-07-23,EXP_4126,Delhi,IT Software,,8268,10907714,244,ISO27001,1,0.2,1,8190,9921,1,0.65,NA,4183,-0.61,-0.87,0,0,0.88
629,2023-09-06,EXP_3101,Rajasthan,Medical Devices,0,,50562248,1618,None,0,0.99,1,16046,5332,0,0.34,NA,4525,0.03,-0.13,1,1,0.46
630,2023-08-26,EXP_1656,Delhi,IT Software,0,5435,1016065,1526,SOC2,1,0.89,0,18232,6566,0,0.15,NA,1168,0.15,-0.35,1,1,-0.66
631,2021-02-18,EXP_5323,Tamil Nadu,Textiles,0,2490,40547377,1662,ISO9001,0,0.94,1,23902,5531,1,0.1,537168,172,0.24,-0.2,0,0,-0.22
632,2021-08-16,EXP_4742,Gujarat,Electronics,,4141,66931588,245,ISO9001,1,0.21,1,14779,8301,1,0.13,,4119,0.35,0.06,1,1,-0.77
633,2023-06-13,EXP_9831,Telangana,IT Software,1,5096,20860211,78,None,1,0.87,1,12475,1658,0,0.28,NA,4256,-0.53,0.12,0,1,-0.35
634,2023-06-09,EXP_1741,Tamil Nadu,Electronics,,,31198292,1235,None,0,0.79,0,781,7756,1,0.15,NA,3184,-0.19,0.71,1,1,0.98
635,2024-01-09,EXP_5221,Gujarat,IT Software,1,7575,7234824,378,SOC2,1,0.93,1,21317,547,0,0.34,,3643,-0.89,0.56,0,1,-0.74
636,2021-08-27,EXP_2631,Telangana,Solar,1,,38073601,568,IEC,0,0.83,1,3895,9109,1,0.14,166772,3169,0.48,0.93,0,0,0.34
637,2022-06-15,EXP_1353,Delhi,Pharmaceuticals,,463,40012716,1995,None,1,0.36,0,781,7267,1,0.86,,1170,0.48,0.18,1,1,0.49
638,2021-05-02,EXP_9482,Haryana,Medical Devices,,,44476099,1182,None,0,0.87,1,8115,8929,1,0.26,467321,4873,-0.44,0.96,0,0,-0.57
639,2023-06-23,EXP_8793,Rajasthan,Medical Devices,0,5310,27086406,1234,None,1,0.02,1,20380,9109,1,0.97,593297,2979,-0.8,0.96,0,0,-0.74
640,2021-06-27,EXP_1278,Punjab,Medical Devices,0,,78048921,1249,None,0,0.17,0,5703,6199,0,0.35,NA,54,-0.65,-0.79,1,0,-0.16
641,2022-11-22,EXP_2376,Rajasthan,Solar,,6757,19893445,1620,None,1,0.03,0,24518,8915,1,0.99,7684,1686,0.54,-0.71,1,0,0.72
642,2023-11-30,EXP_3262,Karnataka,Chemicals,1,1379,75668212,1577,RoHS,0,0.41,0,8990,8916,0,0.53,,2111,-0.73,0.16,1,1,0.52
643,2022-08-28,EXP_1569,Gujarat,Pharmaceuticals,1,,37920313,1075,EU-GMP,0,0.47,0,1076,9438,1,0.13,NA,2522,0.9,0.26,1,0,0.46
644,2021-09-28,EXP_4247,Haryana,Solar,1,4410,57395590,777,IEC,0,0.7,1,10188,9733,1,0.36,,1744,-0.65,0.27,0,1,0.36
645,2022-10-24,EXP_9610,Telangana,Machinery,0,,4486603,1772,None,1,0.02,0,16498,176,1,0.42,22265,117,-0.51,-0.89,0,1,0.88
646,2022-10-03,EXP_1424,Punjab,Medical Devices,0,,71674696,397,ISO9001,1,0.6,1,24753,11682,0,0.16,447172,3618,-0.78,0.31,1,1,-0.01
647,2022-04-02,EXP_8099,Punjab,IT Software,0,7480,55145509,1411,None,0,0.41,1,7083,11254,0,0.89,171313,3089,-0.08,-0.67,0,0,0.43
648,2023-09-23,EXP_2969,Maharashtra,Auto Parts,0,,42942216,1423,ISO9001,0,0.31,1,9433,6377,0,0.68,,4326,-0.22,0.93,0,1,0.47
649,2021-05-24,EXP_7558,Haryana,Textiles,0,,28209706,537,ISO9001,1,0.08,1,11436,7617,1,0.3,NA,2511,0.27,0.06,1,1,0.47
650,2021-06-30,EXP_8503,Haryana,Machinery,0,391,48072389,419,ISO9001,1,0.28,1,6854,7990,0,0.46,10249,4917,-0.52,-0.38,0,1,0.4
651,2023-08-07,EXP_9743,Haryana,Machinery,,,44193504,809,ISO9001,0,0.14,0,20438,2764,1,0.98,,4058,-0.69,-0.46,1,1,-0.04
652,2023-09-06,EXP_1576,Punjab,Chemicals,,5706,23460755,229,ISO14001,0,0.43,0,21737,7589,1,0.42,,2070,0.84,0.79,1,1,0.74
653,2022-09-23,EXP_4542,Delhi,Textiles,1,2624,34398412,606,None,1,0.56,1,5749,11920,1,0.13,,2480,-0.76,-0.92,0,0,0.79
654,2024-07-12,EXP_8757,Punjab,Chemicals,1,,50307629,1191,REACH,0,0.89,0,19732,4579,0,0.68,,3281,0.85,-0.19,1,0,0.67
655,2022-11-27,EXP_5111,Haryana,Engineering,,,79289077,1764,CE,0,0.62,1,4133,10242,0,0.05,,942,0.05,0.73,0,0,0
656,2023-01-13,EXP_8940,Maharashtra,Textiles,0,,33995732,1082,ISO9001,0,0.42,0,20471,145,0,0.96,NA,1838,0.83,0.91,0,1,-0.82
657,2021-08-16,EXP_3410,Tamil Nadu,Engineering,,,17814526,1648,ISO14001,1,0.45,0,6785,6420,0,0.24,66303,965,0.27,0.79,0,0,-0.61
658,2022-05-15,EXP_6129,Haryana,IT Software,0,,36516857,1066,None,1,0.5,1,7484,2967,0,0.57,488196,3483,0.47,0.47,1,0,0.91
659,2025-01-12,EXP_1976,Telangana,Medical Devices,0,2003,66859383,811,None,1,0.1,1,1281,7380,1,0.65,NA,2844,-0.22,-0.85,1,1,0.33
660,2021-08-28,EXP_5790,Haryana,IT Software,0,,16681990,1627,None,1,0.07,1,24490,14079,1,0.38,,436,0.23,-0.17,0,0,0.92
661,2022-07-03,EXP_6927,Karnataka,Machinery,0,4451,16291998,1461,ISO9001,1,0.59,0,5894,563,1,0.06,372241,2956,-0.15,-0.5,0,1,-0.84
662,2024-09-02,EXP_3509,Karnataka,Solar,,5845,20524626,870,UL,0,0.7,1,21440,13368,0,0.98,,4272,0.18,-0.34,0,0,0.65
663,2023-02-05,EXP_7625,Punjab,Machinery,,7201,46738731,694,ISO9001,0,0.02,1,20093,11582,1,0.65,NA,962,0.44,-0.84,0,1,0.85
664,2021-07-05,EXP_6354,Maharashtra,Textiles,0,5757,72991272,542,ISO9001,1,0.84,1,22228,10189,1,0.8,70341,1731,0.93,0.82,1,1,0.9
665,2021-04-23,EXP_8675,Gujarat,IT Software,0,,58220507,904,SOC2,0,0.6,0,23208,5757,1,0.33,NA,3732,0.66,0.02,0,1,-0.09
666,2021-09-11,EXP_4065,Rajasthan,Medical Devices,0,,39628501,276,None,0,0.42,0,1069,9275,0,0.59,NA,4091,-0.54,0.85,1,0,-0.61
667,2022-09-03,EXP_8050,Haryana,Machinery,1,7496,77942984,988,None,0,0.66,0,20550,8912,0,0.24,,1239,0.55,-0.93,1,1,0.46
668,2021-03-21,EXP_2971,Haryana,Pharmaceuticals,0,,47133418,267,FDA,1,0.34,1,1738,6614,0,0.6,NA,3472,0.73,0.96,1,0,-0.72
669,2021-07-15,EXP_9873,Punjab,Textiles,,,30666045,1655,None,0,0.69,1,10653,5209,1,0.71,530107,4033,-0.84,-0.89,0,1,0.64
670,2023-05-23,EXP_3868,Haryana,Chemicals,0,,13834451,394,ISO14001,1,0.35,1,4845,7697,0,0.95,,2657,-0.32,0.5,0,0,-0.23
671,2022-07-17,EXP_4278,Gujarat,Auto Parts,0,,2295071,1802,ISO9001,0,0.47,0,19922,197,1,0.59,548761,344,-0.68,-0.65,0,1,-0.63
