News_ID,Date,Region,Event_Type,Impact_Level,Affected_Industry,Tariff_Change,StockMarket_Shock,War_Flag,Natural_Calamity_Flag,Currency_Shift
109,2022-10-14,Europe,Tariff Update,Low,Solar,-0.07,0.57,1,0,0.93
110,2021-11-18,Asia,Stock Crash,High,Auto Parts,-0.23,-0.38,1,0,-0.82
111,2021-08-31,Middle East,Tariff Update,Low,Machinery,-0.65,-0.35,1,0,0.35
112,2024-08-08,North America,Trade Agreement,Medium,Textiles,0.92,0.53,1,1,-0.88
113,2022-09-05,Global,Natural Calamity,Low,Machinery,0.78,0.2,0,0,-0.31
114,2024-05-09,North America,War Alert,Low,Auto Parts,0.71,-0.83,1,0,0.05
115,2023-06-05,Europe,Tariff Update,Medium,Auto Parts,0.51,0.93,1,1,-0.73
116,2024-02-12,Global,War Alert,Low,Machinery,0.37,0.05,1,0,0.7
117,2022-08-10,Asia,War Alert,Medium,Auto Parts,0.33,-0.31,0,1,0.37
118,2022-09-29,Asia,Tariff Update,High,Chemicals,-0.77,0.29,0,0,0.53
119,2023-10-17,North America,Natural Calamity,Medium,Chemicals,-0.53,0.8,0,0,0.55
120,2023-05-20,Asia,Natural Calamity,High,Engineering,-0.93,0.75,0,0,0.04
121,2022-11-04,Global,Natural Calamity,Low,IT Software,0.5,0.83,0,1,-0.82
122,2024-08-31,Middle East,Supply Chain Shock,Medium,Electronics,-0.44,-0.19,0,1,0.95
123,2022-06-12,North America,Tariff Update,Low,IT Software,-0.2,-0.39,0,0,0.92
124,2024-02-09,Europe,Tariff Update,High,Pharmaceuticals,-0.95,-0.47,1,1,-0.94
125,2025-01-16,Asia,Supply Chain Shock,High,Pharmaceuticals,0.29,0.33,0,1,-0.95
126,2021-07-11,Global,Supply Chain Shock,High,Solar,-0.57,0.45,1,1,-0.2
127,2023-07-17,Asia,Stock Crash,Low,Medical Devices,-0.21,-0.08,0,1,0.79
128,2022-08-12,Asia,Supply Chain Shock,High,Chemicals,-0.9,0.52,0,0,0
129,2024-08-26,Asia,Tariff Update,High,Machinery,-0.2,0.72,1,1,-0.73
130,2021-08-10,Middle East,Natural Calamity,Medium,Solar,-0.2,-0.17,0,0,-0.03
131,2024-07-07,Global,Natural Calamity,High,Machinery,-0.96,-0.19,0,0,-0.6
132,2021-02-10,Middle East,Tariff Update,Low,Textiles,-0.09,1,0,1,1
133,2022-01-23,Global,War Alert,Low,IT Software,0.15,-0.54,0,0,-0.23
134,2021-05-15,Asia,War Alert,Low,Engineering,0.78,-0.01,0,1,0.64
135,2021-10-25,Asia,Natural Calamity,High,Machinery,0.17,0.16,0,0,-0.14
136,2022-09-23,Europe,Natural Calamity,Medium,Machinery,0.59,-0.17,1,0,-0.8
137,2022-04-12,Global,Trade Agreement,High,Electronics,-0.58,-0.44,1,1,-0.48
138,2021-12-16,Asia,Supply Chain Shock,Low,Electronics,-0.9,0.82,1,1,0.26
139,2021-04-19,Asia,Stock Crash,Medium,Textiles,0.59,0.34,0,0,-0.99
140,2024-11-01,Global,Natural Calamity,Medium,Textiles,-0.06,-0.2,0,0,0.16
141,2023-10-05,Europe,Supply Chain Shock,High,Chemicals,0.95,-0.22,0,0,-0.63
142,2024-08-29,North America,War Alert,Low,Engineering,-0.65,0.87,1,1,0.43
143,2022-11-20,Europe,Tariff Update,High,Chemicals,0.74,0.36,0,0,-0.29
144,2024-05-20,Global,Tariff Update,High,Textiles,-0.41,0.03,0,0,-0.02
145,2023-06-07,Asia,Supply Chain Shock,High,Pharmaceuticals,0.64,-0.98,1,0,0.16
146,2022-06-25,Europe,Tariff Update,Medium,Auto Parts,-0.23,-0.29,1,1,0.95
147,2021-12-19,North America,Trade Agreement,High,Auto Parts,-0.17,0.16,1,0,0.06
148,2021-09-25,Global,War Alert,Low,Machinery,-0.65,-0.83,1,0,-0.25
149,2021-09-19,Europe,Supply Chain Shock,High,Auto Parts,-0.55,0.68,1,0,0.21
150,2023-04-17,Europe,Supply Chain Shock,High,Chemicals,0.24,-0.75,0,1,-0.74
151,2025-01-15,Middle East,Trade Agreement,Low,IT Software,0.14,0.36,0,1,-0.58
152,2021-12-27,Global,Supply Chain Shock,Medium,Engineering,0.54,0.58,1,1,0.32
153,2024-01-14,Europe,Stock Crash,High,Auto Parts,0.53,0.27,1,1,0.66
154,2022-03-30,Middle East,War Alert,High,IT Software,0.18,-0.47,1,0,-0.98
155,2023-03-26,Global,Stock Crash,Medium,Auto Parts,-0.71,-0.68,0,1,0.64
156,2023-04-23,Asia,Trade Agreement,Low,Chemicals,-0.62,0.42,0,0,-0.58
157,2023-02-02,Global,Supply Chain Shock,Low,Medical Devices,-0.62,-0.71,0,0,-0.15
158,2023-04-03,Middle East,Stock Crash,High,Textiles,0.96,0.42,0,0,0.55
159,2023-09-22,Europe,Trade Agreement,Medium,Textiles,-0.46,-0.49,0,0,0.37
160,2024-11-28,Asia,Stock Crash,High,Chemicals,0.19,0.88,1,1,0.14
161,2023-01-17,Europe,Trade Agreement,High,Chemicals,0.89,0.49,0,1,-0.47
162,2022-01-15,Europe,Natural Calamity,High,Electronics,0.78,0.74,1,0,0.3
163,2024-06-29,Middle East,Natural Calamity,Low,Medical Devices,-0.52,-0.87,1,1,-0.22
164,2022-04-29,Europe,Natural Calamity,Low,Chemicals,-0.62,-0.14,1,1,0.67
165,2024-01-17,North America,Supply Chain Shock,Medium,Auto Parts,0.11,-0.38,0,1,0.84
166,2022-05-17,Global,Natural Calamity,Low,Medical Devices,0.94,-0.48,1,0,-0.77
167,2022-04-28,Middle East,War Alert,Low,Textiles,0.35,0.9,0,0,-0.98
168,2022-03-20,North America,Supply Chain Shock,High,Machinery,0.03,0.43,0,1,-0.49
169,2022-08-20,Asia,Stock Crash,Low,Pharmaceuticals,0.93,-0.72,1,0,-0.77
170,2024-06-01,Middle East,Natural Calamity,Low,Solar,-0.14,-0.33,0,1,0.48
171,2022-04-09,North America,Natural Calamity,High,Engineering,-0.81,0.01,0,0,0.31
172,2023-09-19,Middle East,Trade Agreement,Medium,Machinery,-0.18,0.35,0,1,0.16
173,2023-01-02,Europe,Supply Chain Shock,Medium,Auto Parts,0.39,-0.88,1,1,0.07
174,2021-07-21,Europe,War Alert,High,Medical Devices,-0.41,-0.11,0,1,0.6
175,2022-08-16,Global,Stock Crash,Low,Chemicals,0.98,-0.28,1,0,0.08
176,2021-08-28,North America,Supply Chain Shock,Low,Chemicals,0.44,0.18,1,0,0.17
177,2024-11-11,Europe,Supply Chain Shock,Low,Electronics,-0.39,-0.89,0,1,-0.47
178,2021-09-09,Europe,Tariff Update,Medium,Electronics,0.87,-0.61,0,0,0.98
179,2022-07-02,Middle East,Tariff Update,Medium,Textiles,-0.41,-0.25,0,0,0.21
180,2022-08-11,North America,Supply Chain Shock,Low,Chemicals,-0.52,-0.87,1,1,-0.31
181,2022-04-30,Middle East,Tariff Update,High,Engineering,0.14,-0.62,0,1,0.29
182,2023-07-20,Asia,Tariff Update,High,Medical Devices,0.8,-0.17,1,0,0.97
183,2024-12-01,Middle East,War Alert,High,Medical Devices,0.1,0.82,1,0,-0.41
184,2024-03-31,Asia,Tariff Update,Medium,IT Software,0.41,-0.27,0,0,-0.48
185,2021-05-22,Global,Tariff Update,Medium,Pharmaceuticals,-0.43,-0.15,1,0,0.46
186,2022-11-13,Europe,Trade Agreement,Low,Engineering,0.48,0.21,1,1,0.95
187,2024-12-26,Global,Trade Agreement,High,Chemicals,0.35,0.22,0,0,-0.73
188,2021-10-05,Europe,Natural Calamity,High,Machinery,-0.42,0.22,1,1,-1
189,2024-06-27,North America,Natural Calamity,Medium,Textiles,0.03,0.61,1,0,0.19
190,2021-05-29,Asia,Trade Agreement,Low,Machinery,-0.08,-0.44,1,0,-0.76
191,2025-01-09,Global,Natural Calamity,Low,Electronics,0.84,-0.4,0,1,-0.59
192,2024-04-14,Global,War Alert,Low,Chemicals,-0.18,0.83,1,1,0.5
193,2021-07-06,Asia,Stock Crash,High,Pharmaceuticals,0.11,0.16,0,0,-0.41
194,2021-04-23,North America,Natural Calamity,Low,IT Software,-0.38,0.6,0,1,0.33
195,2023-03-09,North America,Tariff Update,Medium,Chemicals,0.52,-0.06,1,0,0.94
196,2021-03-22,Europe,Supply Chain Shock,Medium,Chemicals,0.34,-0.79,0,1,0.66
197,2023-10-17,Asia,Supply Chain Shock,High,Medical Devices,0.42,0.64,0,0,0.17
198,2025-02-02,Global,Stock Crash,Medium,IT Software,-0.34,-0.1,1,1,0.78
199,2024-09-13,Middle East,Stock Crash,Low,Auto Parts,0.79,0.59,1,0,0.24
200,2022-08-20,Global,War Alert,Medium,Electronics,-0.18,-0.64,1,1,-0.54
201,2024-08-24,Global,Supply Chain Shock,High,Auto Parts,0.61,-0.54,0,0,0.81
202,2021-11-22,North America,Supply Chain Shock,Low,Machinery,-0.45,-1,1,0,0.59
203,2023-12-05,Europe,Supply Chain Shock,Low,Textiles,-0.54,-0.67,1,1,-0.26
204,2023-03-03,Asia,Stock Crash,Medium,Pharmaceuticals,0.6,-0.45,1,1,-0.78
205,2022-02-02,North America,Stock Crash,High,Auto Parts,0.24,0.15,1,1,-0.22
206,2024-12-07,Middle East,Natural Calamity,High,Machinery,0.42,0.88,0,1,-0.59
207,2024-05-12,North America,War Alert,Low,Solar,1,0.91,1,0,0.17
208,2022-06-07,Middle East,Natural Calamity,Low,Machinery,-0.26,-0.36,0,1,0.92
209,2021-09-29,Europe,Supply Chain Shock,Medium,Textiles,0.2,-0.38,1,0,0.48
210,2021-03-23,Europe,Stock Crash,High,Machinery,0.01,-0.66,1,0,0.79
211,2024-03-08,Asia,Trade Agreement,Low,Auto Parts,0.88,0.25,1,0,0.21
212,2022-03-15,Asia,Natural Calamity,Low,Machinery,0.94,-0.85,1,0,0.72
213,2022-06-15,Asia,Trade Agreement,Low,Electronics,0.92,-0.14,0,0,0.46
214,2021-11-09,Middle East,Supply Chain Shock,High,IT Software,-0.33,-0.38,1,0,0.76
215,2021-11-29,North America,Natural Calamity,Low,IT Software,0.09,-0.38,1,1,-0.85
216,2022-03-19,Europe,Supply Chain Shock,Low,Electronics,0.5,0.6,1,0,-0.24
217,2023-11-16,Middle East,Tariff Update,Medium,Medical Devices,0.81,-0.41,1,1,0.24
218,2021-09-22,Europe,Natural Calamity,High,Medical Devices,-0.66,-0.06,0,1,0.41
219,2024-05-11,Asia,Tariff Update,Low,Pharmaceuticals,0.62,-0.6,1,1,0.18
220,2024-07-30,North America,Trade Agreement,Medium,IT Software,-0.61,0.7,1,0,0.77
221,2023-01-21,Europe,Trade Agreement,Low,Engineering,-0.33,0.01,0,1,0.82
222,2021-11-10,Europe,War Alert,Low,IT Software,-0.35,-0.93,1,0,0.72
223,2022-10-16,Europe,War Alert,High,Auto Parts,0,-0.64,1,1,0.49
224,2024-08-27,Asia,Trade Agreement,Low,IT Software,-0.57,-0.82,1,0,-0.05
225,2024-11-09,Asia,War Alert,High,Medical Devices,-0.4,-0.56,1,1,-0.86
226,2022-11-03,Middle East,Trade Agreement,Low,Textiles,0.78,0.97,0,0,0.19
227,2025-01-06,North America,Tariff Update,High,Medical Devices,-0.98,0.89,1,1,-0.6
228,2021-06-01,Europe,Tariff Update,Low,Chemicals,-0.33,-0.43,0,1,-0.31
229,2021-04-13,Middle East,War Alert,Medium,Medical Devices,-0.81,0.53,1,0,-0.88
230,2023-01-25,Global,War Alert,High,Engineering,-0.29,-0.72,0,0,0.42
231,2021-12-31,Global,Tariff Update,Low,IT Software,0.02,0.97,0,0,-0.56
232,2023-07-22,Middle East,Natural Calamity,High,Chemicals,0.39,-0.62,0,1,0.7
233,2024-02-03,Europe,War Alert,High,Textiles,0.63,0.52,0,1,0.59
234,2025-01-01,North America,Tariff Update,Low,Pharmaceuticals,-0.58,-0.77,0,1,-0.12
235,2022-04-24,Global,Natural Calamity,Medium,Medical Devices,0.18,-0.93,0,1,-0.41
236,2021-10-22,Global,Tariff Update,High,Engineering,-0.51,0.53,0,0,0.28
237,2022-09-21,Middle East,War Alert,High,Electronics,0.33,0.88,0,1,0.73
238,2021-10-27,North America,Stock Crash,Low,Chemicals,0.39,-0.97,1,0,0.15
239,2024-12-01,Global,Stock Crash,Medium,Electronics,-0.2,0.56,0,1,0.19
240,2022-11-02,Asia,Trade Agreement,Low,Chemicals,0.57,0.18,1,1,0.78
241,2023-08-18,Europe,War Alert,High,Machinery,0.31,-0.15,0,0,0.18
242,2024-02-17,Asia,Trade Agreement,Medium,Electronics,0.94,-0.32,1,0,0.06
243,2021-07-10,Asia,Trade Agreement,High,Solar,-0.3,0.43,1,0,-0.9
244,2023-07-04,Global,War Alert,High,Pharmaceuticals,0.54,0.38,0,1,0.01
245,2024-03-13,Europe,Stock Crash,Low,Pharmaceuticals,0.79,-0.28,1,0,0.62
246,2022-05-22,Asia,Tariff Update,High,Pharmaceuticals,-0.24,-0.94,0,1,-0.64
247,2021-02-27,Middle East,Natural Calamity,Low,Chemicals,0.4,-0.18,1,1,0.51
248,2022-04-21,Europe,Supply Chain Shock,Low,Medical Devices,0.76,-0.93,1,1,-0.43
249,2023-12-22,North America,War Alert,High,Textiles,-0.56,-0.03,0,0,-0.69
250,2023-12-20,Europe,Trade Agreement,Low,IT Software,-0.13,-0.36,0,0,0.48
251,2023-04-07,Asia,Trade Agreement,Low,Chemicals,0.22,0.05,0,0,-0.41
252,2021-07-29,Asia,Trade Agreement,Low,Textiles,0.41,0.98,0,1,-0.72
253,2021-07-20,Global,War Alert,High,Medical Devices,-0.52,-0.35,1,1,-0.12
254,2024-01-04,Asia,Stock Crash,Medium,Textiles,0.77,-0.47,1,0,0.87
255,2024-02-22,Middle East,Tariff Update,High,Solar,0.38,-0.51,0,1,0.39
256,2024-12-06,Global,Natural Calamity,High,IT Software,0.18,-0.18,0,0,-0.93
257,2024-10-04,Middle East,Tariff Update,Low,Medical Devices,0.35,0.59,0,0,0.73
258,2024-07-08,Asia,Supply Chain Shock,Low,Medical Devices,0.96,-0.95,1,0,0.12
259,2024-03-25,Europe,Tariff Update,Medium,Solar,0.55,-0.45,1,1,-0.34
260,2024-06-02,Asia,Tariff Update,High,Auto Parts,0.41,0.19,0,0,-0.48
261,2021-05-26,Global,Stock Crash,High,Solar,-0.79,0.62,0,1,-0.51
262,2025-02-08,Global,Tariff Update,Low,Auto Parts,0.63,-0.98,0,1,-0.75
263,2024-02-12,Europe,Stock Crash,High,Engineering,-0.25,-0.19,1,0,0.2
264,2023-12-02,Middle East,Stock Crash,High,Textiles,-0.74,0.84,1,0,-0.81
265,2024-07-28,Europe,Trade Agreement,Low,Pharmaceuticals,0.75,-0.36,1,1,0.77
266,2023-10-08,Europe,War Alert,Medium,Engineering,-0.6,0.42,0,1,-0.07
267,2021-03-29,Middle East,Trade Agreement,High,Chemicals,0.12,-0.87,0,1,0.46
268,2023-02-26,Middle East,Trade Agreement,Low,Engineering,-0.59,0.46,1,0,0.97
269,2021-05-27,Asia,War Alert,Medium,Engineering,-0.41,0.09,1,0,-0.65
270,2022-04-14,Global,Supply Chain Shock,Low,Electronics,-0.61,-0.13,0,0,-0.68
271,2024-09-03,North America,Supply Chain Shock,Medium,Chemicals,-0.22,-0.2,1,1,0.27
272,2021-09-17,North America,Natural Calamity,Low,Electronics,-0.66,0.95,1,1,0.32
273,2024-02-14,Middle East,Tariff Update,Low,Chemicals,-0.27,-0.72,1,0,-0.12
274,2021-04-27,Global,War Alert,Medium,Pharmaceuticals,0.55,-0.72,0,0,0.37
275,2022-05-31,Europe,Tariff Update,Low,Textiles,0.92,-0.39,0,0,-0.27
276,2021-09-29,Europe,War Alert,Medium,Engineering,0.41,-0.59,0,1,0.69
277,2024-10-13,North America,Tariff Update,High,Chemicals,0.1,-0.82,0,1,-0.66
278,2022-05-03,Global,War Alert,Medium,Electronics,0.4,-0.85,0,1,-0.12
279,2024-06-11,Asia,Stock Crash,High,Chemicals,0.84,-0.66,1,0,-0.05
280,2022-03-29,Global,Stock Crash,Low,Machinery,0.29,-0.12,0,0,-0.45
281,2022-12-27,Asia,Supply Chain Shock,Medium,Textiles,0.43,-0.84,1,0,-0.84
282,2024-02-18,Asia,Trade Agreement,High,Machinery,-0.63,-0.85,1,1,-0.2
283,2022-08-26,Global,Stock Crash,High,Solar,-0.37,0.34,1,0,-0.17
284,2022-11-25,Global,Trade Agreement,High,Chemicals,0.54,0.83,1,0,0.36
285,2024-03-28,Global,Supply Chain Shock,High,Textiles,0.95,-0.14,0,1,0.83
286,2024-03-26,Europe,Supply Chain Shock,Medium,Auto Parts,0.96,-0.56,0,0,0.28
287,2024-10-21,Asia,Tariff Update,High,Auto Parts,0.41,0.35,1,1,0.83
288,2022-02-19,Asia,Supply Chain Shock,Low,Pharmaceuticals,-0.88,0.05,0,0,0.78
289,2021-01-03,Global,Natural Calamity,Medium,Pharmaceuticals,-0.26,-0.48,1,1,-0.33
290,2022-03-15,Global,Natural Calamity,High,Textiles,-0.74,0.95,1,1,-1
291,2021-08-16,Global,Stock Crash,Low,Electronics,-0.95,-0.29,1,1,-1
292,2021-06-18,Middle East,Supply Chain Shock,Medium,Medical Devices,0.77,-0.33,1,1,0.67
293,2021-01-02,Middle East,War Alert,Low,IT Software,0.4,0.26,1,0,0.6
294,2022-04-09,Middle East,Stock Crash,High,Chemicals,-0.5,-0.88,0,1,0.21
295,2021-12-24,North America,Supply Chain Shock,Medium,IT Software,-0.18,0.49,0,0,0.79
296,2021-09-24,Europe,Supply Chain Shock,High,Medical Devices,-0.67,-0.81,0,0,0.1
297,2024-11-30,Global,Stock Crash,Medium,Chemicals,0.33,0.58,0,1,0.31
298,2022-09-29,Europe,Supply Chain Shock,Low,Pharmaceuticals,0.11,-0.43,0,1,-0.81
